hotel,district,season,n,term,count
Астра,Нижегородский,Лето,1,номер,13
Гостиница Кстово,Нижегородский,Лето,1,номер,12
Славянка,Ленинский,Лето,1,номер,11
Спать,Советский,Лето,1,очень,9
Azimut Отель Нижний Новгород,Канавинский,Осень,1,номер,9
Астра,Нижегородский,Весна,1,номер,8
Московская,Московский,Зима,1,номер,8
Тихий дворик,Московский,Осень,1,номер,7
Baker Street,Московский,Лето,1,стройка,7
Baker Street,Московский,Лето,1,отель,7
Baker Street,Московский,Лето,1,номер,7
Московская,Московский,Лето,1,номер,7
МаксРоял,Ленинский,Зима,1,номер,6
Александраполь,Нижегородский,Лето,1,номер,6
Астра,Нижегородский,Лето,1,очень,6
Клевер Удачи,Нижегородский,Лето,1,номер,6
Акварель,Советский,Весна,1,номер,6
Мона Лиза,Сормовский,Осень,1,номер,5
Тихий дворик,Московский,Лето,1,номер,5
ОКА,Канавинский,Осень,1,номер,5
Октябрьская,Советский,Лето,1,номер,5
Гостиница Кстово,Нижегородский,Лето,1,завтрак,5
Острожский Вал,Советский,Лето,1,очень,5
Клевер Удачи,Нижегородский,Лето,1,вода,5
Гранд Отель ОКА Премиум,Московский,Осень,1,номер,5
Гостиница Кстово,Нижегородский,Лето,1,гостиница,5
Дисней,Приокский,Лето,1,номер,5
Агродом,Нижегородский,Осень,1,номер,5
Первый класс,Нижегородский,Осень,1,ресторан,5
Тихий дворик,Московский,Осень,1,это,5
Маяк,Сормовский,Весна,1,номер,5
Машина избушка,Канавинский,Осень,1,номер,5
Baker Street,Московский,Лето,1,грязь,5
Машина избушка,Канавинский,Зима,1,номер,5
Острожский Вал,Советский,Лето,1,номер,5
Острожский Вал,Советский,Осень,1,очень,5
Астра,Нижегородский,Лето,1,весь,5
Azimut Отель Нижний Новгород,Канавинский,Осень,1,очень,5
Астра,Нижегородский,Лето,1,гостиница,5
Спать,Советский,Лето,1,место,5
Славянка,Ленинский,Лето,1,вода,4
Парк Культуры,Автозаводский,Зима,1,сауна,4
Славянка,Ленинский,Зима,1,номер,4
Титул,Советский,Осень,1,номер,4
Гостиница Кстово,Нижегородский,Лето,1,хороший,4
Гранат,Советский,Лето,1,номер,4
Спать,Советский,Лето,1,дверь,4
Гранд Отель ОКА Премиум,Московский,Лето,1,номер,4
Надежда,Московский,Зима,1,номер,4
Астра,Нижегородский,Лето,1,вода,4
Парк Культуры,Автозаводский,Лето,1,это,4
Астра,Нижегородский,Весна,1,вода,4
Арт 11,Советский,Лето,1,номер,4
Астра,Нижегородский,Лето,1,завтрак,4
Славянка,Ленинский,Лето,1,старый,4
Очаг,Советский,Лето,1,отель,4
Московская,Московский,Лето,1,завтрак,4
Гостиница Кстово,Нижегородский,Зима,1,цена,4
Титул,Советский,Весна,1,номер,4
Покровка25,Нижегородский,Осень,1,отель,4
Очаг,Советский,Лето,1,номер,4
Очаг,Советский,Весна,1,номер,4
Hampton by Hilton Nizhny Novgorod,Нижегородский,Лето,1,отель,4
Les&Park,Приокский,Лето,1,номер,4
Острожский Вал,Советский,Весна,1,номер,4
Славянка,Ленинский,Осень,1,номер,4
Гостиница Кстово,Нижегородский,Весна,1,номер,4
