hotel,lemma,count
2rooms на Родионова,апартамент,3
2rooms на Родионова,воздушный,2
2rooms на Родионова,этаж,1
2rooms на Родионова,супер,1
2rooms на Родионова,дизайнерский,1
2rooms на Родионова,новый,1
2rooms на Родионова,каждый,1
2rooms на Родионова,деталь,1
2rooms на Родионова,светлый,1
2rooms на Родионова,действительно,1
9 Ночей-Норт,необходимый,15
9 Ночей-Норт,ночь,14
9 Ночей-Норт,весь,14
9 Ночей-Норт,апартамент,14
9 Ночей-Норт,чисто,11
9 Ночей-Норт,отличный,11
9 Ночей-Норт,хороший,11
9 Ночей-Норт,парковка,10
9 Ночей-Норт,место,9
9 Ночей-Норт,посуда,8
9 Ночей-Норт,удобный,8
9 Ночей-Норт,чистый,8
9 Ночей-Норт,вид,7
9 Ночей-Норт,бесконтактный,7
9 Ночей-Норт,удобно,7
9 Ночей-Норт,кухня,7
9 Ночей-Норт,студия,7
9 Ночей-Норт,большой,7
9 Ночей-Норт,набор,6
9 Ночей-Норт,нижний,6
9 Ночей-Норт,расположение,6
9 Ночей-Норт,бельё,5
9 Ночей-Норт,апарт-отель,5
9 Ночей-Норт,несколько,5
9 Ночей-Норт,комфортный,5
9 Ночей-Норт,центр,5
9 Ночей-Норт,машина,5
9 Ночей-Норт,уютный,5
9 Ночей-Норт,чайник,5
9 Ночей-Норт,окно,5
9 Ночей-Норт,мебель,5
9 Ночей-Норт,ремонт,5
9 Ночей-Норт,просторный,5
9 Ночей-Норт,этаж,5
9 Ночей-Норт,река,5
9 Ночей-Норт,новый,5
9 Ночей-Норт,современный,5
9 Ночей-Норт,микроволновка,5
9 Ночей-Норт,вариант,5
9 Ночей-Норт,свежий,4
9 Ночей-Норт,семья,4
9 Ночей-Норт,новгород,4
9 Ночей-Норт,выбор,4
9 Ночей-Норт,город,4
9 Ночей-Норт,отдых,4
9 Ночей-Норт,наличие,4
9 Ночей-Норт,больший,4
9 Ночей-Норт,вопрос,4
9 Ночей-Норт,улица,4
9 Ночей-Норт,данный,4
9 Ночей-Норт,комната,4
9 Ночей-Норт,администратор,4
9 Ночей-Норт,чистота,4
9 Ночей-Норт,ребёнок,4
9 Ночей-Норт,пешком,4
9 Ночей-Норт,бесплатный,4
9 Ночей-Норт,утюг,4
9 Ночей-Норт,минута,4
9 Ночей-Норт,проживание,4
9 Ночей-Норт,завтрак,4
9 Ночей-Норт,целое,4
9 Ночей-Норт,тапочки,3
9 Ночей-Норт,красивый,3
9 Ночей-Норт,кровать,3
9 Ночей-Норт,достопримечательность,3
9 Ночей-Норт,свой,3
9 Ночей-Норт,впечатление,3
9 Ночей-Норт,особенно,3
9 Ночей-Норт,персонал,3
9 Ночей-Норт,шикарный,3
9 Ночей-Норт,вкус,3
9 Ночей-Норт,впервые,3
9 Ночей-Норт,полный,3
9 Ночей-Норт,ключ,3
9 Ночей-Норт,недалеко,3
9 Ночей-Норт,отлично,3
9 Ночей-Норт,интерьер,3
9 Ночей-Норт,единственный,3
9 Ночей-Норт,дом,3
9 Ночей-Норт,платный,3
9 Ночей-Норт,стиральный,3
9 Ночей-Норт,комфортно,3
9 Ночей-Норт,балл,3
9 Ночей-Норт,плита,3
9 Ночей-Норт,гость,3
9 Ночей-Норт,август,3
9 Ночей-Норт,идеально,2
9 Ночей-Норт,гигиенический,2
9 Ночей-Норт,трехместный,2
9 Ночей-Норт,рядом,2
9 Ночей-Норт,кафе,2
9 Ночей-Норт,общественный,2
9 Ночей-Норт,транспорт,2
9 Ночей-Норт,подземный,2
9 Ночей-Норт,замечательный,2
9 Ночей-Норт,удобство,2
9 Ночей-Норт,гладильный,2
9 Ночей-Норт,доска,2
9 Ночей-Норт,сушилка,2
9 Ночей-Норт,наш,2
9 Ночей-Норт,ресепшен,2
9 Ночей-Норт,локация,2
9 Ночей-Норт,отсутствие,2
9 Ночей-Норт,сервис,2
9 Ночей-Норт,запах,2
9 Ночей-Норт,размещение,2
9 Ночей-Норт,местоположение,2
9 Ночей-Норт,принадлежность,2
9 Ночей-Норт,приятный,2
9 Ночей-Норт,обслуживание,2
9 Ночей-Норт,шампунь,2
