hotel,district,season,sentiment,entity_label,entity_text,count
9 Ночей-Норт,Московский,Зима,NEUTRAL,LOC,кремль (нн),1
9 Ночей-Норт,Московский,Зима,NEUTRAL,LOC,оку,1
9 Ночей-Норт,Московский,Зима,NEUTRAL,PER,великолепие,1
9 Ночей-Норт,Московский,Зима,POSITIVE,LOC,москва,1
9 Ночей-Норт,Московский,Лето,NEUTRAL,LOC,нижний на,1
9 Ночей-Норт,Московский,Лето,POSITIVE,LOC,апарт отель,1
9 Ночей-Норт,Московский,Осень,NEUTRAL,LOC,кремль (нн),1
9 Ночей-Норт,Московский,Осень,NEUTRAL,LOC,нижний новгород,2
9 Ночей-Норт,Московский,Осень,NEUTRAL,LOC,покровка,1
9 Ночей-Норт,Московский,Осень,NEUTRAL,ORG,wood,1
9 Ночей-Норт,Московский,Осень,POSITIVE,LOC,больший покровский,1
9 Ночей-Норт,Московский,Осень,POSITIVE,LOC,нижний новгород,2
9 Ночей-Норт,Московский,Осень,POSITIVE,LOC,нн,1
9 Ночей-Норт,Московский,Осень,POSITIVE,LOC,ока,1
9 Ночей-Норт,Московский,Осень,POSITIVE,LOC,храм,1
9 Ночей-Норт,Московский,Осень,POSITIVE,ORG,royal,1
9 Ночей-Норт,Московский,Осень,POSITIVE,PER,алиса,1
9 Ночей-Норт,Московский,Осень,POSITIVE,PER,де пари,1
Attashe,Московский,Весна,NEUTRAL,LOC,большой покровский,1
Attashe,Московский,Весна,NEUTRAL,LOC,горьковской,1
Attashe,Московский,Весна,POSITIVE,LOC,кремль (нн),1
Attashe,Московский,Весна,POSITIVE,LOC,покровка,1
Attashe,Московский,Зима,POSITIVE,LOC,нижний новгород,1
Attashe,Московский,Лето,POSITIVE,LOC,апартамент,1
Attashe,Московский,Лето,POSITIVE,LOC,кремль (нн),3
Attashe,Московский,Лето,POSITIVE,LOC,нижний 3,1
Attashe,Московский,Лето,POSITIVE,ORG,яндекс карта,1
Attashe,Московский,Лето,POSITIVE,PER,атташе нижний,1
Attashe,Московский,Лето,POSITIVE,PER,кровати,1
Attashe,Московский,Лето,POSITIVE,PER,спар,1
Attashe,Московский,Осень,POSITIVE,LOC,кремль (нн),1
Attashe,Московский,Осень,POSITIVE,LOC,нижний приличный отель,1
Attashe,Московский,Осень,POSITIVE,LOC,россия,1
Attashe,Московский,Осень,POSITIVE,ORG,нижний,1
Azimut Отель Нижний Новгород,Канавинский,Зима,NEUTRAL,LOC,ковролин,1
Azimut Отель Нижний Новгород,Канавинский,Зима,NEUTRAL,LOC,ока,1
Azimut Отель Нижний Новгород,Канавинский,Зима,NEUTRAL,PER,волга,1
Azimut Отель Нижний Новгород,Канавинский,Зима,POSITIVE,LOC,азимут,1
Azimut Отель Нижний Новгород,Канавинский,Зима,POSITIVE,LOC,канавинский мост,1
Azimut Отель Нижний Новгород,Канавинский,Зима,POSITIVE,LOC,нижний новгород,2
Azimut Отель Нижний Новгород,Канавинский,Зима,POSITIVE,LOC,питер,1
Azimut Отель Нижний Новгород,Канавинский,Зима,POSITIVE,LOC,рождественский улица,1
Azimut Отель Нижний Новгород,Канавинский,Зима,POSITIVE,LOC,сибирь,1
Azimut Отель Нижний Новгород,Канавинский,Зима,POSITIVE,LOC,ярмарка,1
Azimut Отель Нижний Новгород,Канавинский,Зима,POSITIVE,ORG,нижегородский,1
Azimut Отель Нижний Новгород,Канавинский,Лето,NEUTRAL,LOC,нижний новгород,2
Azimut Отель Нижний Новгород,Канавинский,Лето,NEUTRAL,ORG,azimu,1
Azimut Отель Нижний Новгород,Канавинский,Лето,POSITIVE,LOC,ока,1
Azimut Отель Нижний Новгород,Канавинский,Лето,POSITIVE,LOC,стрелка (нн),1
Azimut Отель Нижний Новгород,Канавинский,Осень,NEGATIVE,PER,азимут,2
Azimut Отель Нижний Новгород,Канавинский,Осень,NEGATIVE,PER,пол люксе,1
Azimut Отель Нижний Новгород,Канавинский,Осень,NEUTRAL,LOC,верхний город,1
Azimut Отель Нижний Новгород,Канавинский,Осень,NEUTRAL,LOC,волга,2
Azimut Отель Нижний Новгород,Канавинский,Осень,NEUTRAL,LOC,нижний новгород,2
Azimut Отель Нижний Новгород,Канавинский,Осень,NEUTRAL,LOC,ока,1
Azimut Отель Нижний Новгород,Канавинский,Осень,NEUTRAL,LOC,оку,1
Azimut Отель Нижний Новгород,Канавинский,Осень,NEUTRAL,PER,ока,1
Azimut Отель Нижний Новгород,Канавинский,Осень,POSITIVE,LOC,азимут,1
