group_field,group,term,tfidf,tf,df,total_terms
hotel,Волна,номер,0.04273683622027561,43,85,1207
hotel,Волна,гостиница,0.031305166416364986,30,80,1207
hotel,Волна,волна,0.03019286204798285,8,2,1207
hotel,Волна,завтрак,0.02819401892793984,23,64,1207
hotel,Волна,очень,0.023912847995151355,27,97,1207
hotel,Волна,персонал,0.017566776097088312,17,81,1207
hotel,Волна,шведский,0.017387011505121043,10,34,1207
hotel,Волна,метро,0.016705668520556233,10,37,1207
hotel,Волна,стол,0.016553202686925426,12,53,1207
hotel,Волна,ресторан,0.013774383383168876,9,44,1207
hotel,Волна,весь,0.013132066962318776,14,91,1207
hotel,Волна,отель,0.012042841030659886,12,84,1207
hotel,Волна,чистый,0.011148575214624035,12,92,1207
hotel,Волна,вкусный,0.011148049213902786,9,63,1207
hotel,Волна,приходиться,0.009548870349354572,4,15,1207
hotel,Волна,хороший,0.00947059522486059,10,90,1207
hotel,Волна,станция,0.009347960252199859,4,16,1207
hotel,Волна,этаж,0.00922141158652002,8,70,1207
hotel,Волна,заселение,0.009128710728361014,8,71,1207
hotel,Волна,чисто,0.009114196011242606,10,94,1207
hotel,Волна,приятный,0.009032130772994914,9,84,1207
hotel,Волна,цена,0.009032130772994914,9,84,1207
hotel,Волна,понравиться,0.008442043047204927,9,91,1207
hotel,Волна,удобный,0.008361431410968026,9,92,1207
hotel,Волна,вежливый,0.008348044377697329,8,80,1207
hotel,Волна,вкусно,0.0081403516820364,5,39,1207
hotel,Волна,хотеться,0.008095817693897469,6,55,1207
hotel,Волна,атмосфера,0.008038062483236188,5,40,1207
hotel,Волна,момент,0.007939896643367162,4,25,1207
hotel,Волна,ребята,0.007876686910611906,3,11,1207
hotel,Волна,разнообразно,0.007876686910611906,3,11,1207
hotel,Волна,быстро,0.007752853958253965,6,59,1207
hotel,Волна,сотрудник,0.007652435212871598,5,44,1207
hotel,Волна,90,0.007548215511995713,2,2,1207
hotel,Волна,уютный,0.007221952998771746,8,95,1207
hotel,Волна,день,0.007163080527362451,7,82,1207
