hotel,district,season,sentiment,topic,reviews_count
9 Ночей-Норт,Московский,Зима,NEUTRAL,Расположение,1
9 Ночей-Норт,Московский,Зима,NEUTRAL,Сервис,1
9 Ночей-Норт,Московский,Зима,POSITIVE,Чистота,1
9 Ночей-Норт,Московский,Лето,NEUTRAL,Комфорт/шум,1
9 Ночей-Норт,Московский,Лето,NEUTRAL,Расположение,1
9 Ночей-Норт,Московский,Лето,NEUTRAL,Сервис,1
9 Ночей-Норт,Московский,Лето,POSITIVE,Комфорт/шум,1
9 Ночей-Норт,Московский,Лето,POSITIVE,Расположение,2
9 Ночей-Норт,Московский,Лето,POSITIVE,Сервис,1
9 Ночей-Норт,Московский,Лето,POSITIVE,Чистота,2
9 Ночей-Норт,Московский,Осень,NEGATIVE,Сервис,1
9 Ночей-Норт,Московский,Осень,NEUTRAL,Расположение,1
9 Ночей-Норт,Московский,Осень,NEUTRAL,Сервис,1
9 Ночей-Норт,Московский,Осень,NEUTRAL,Чистота,3
9 Ночей-Норт,Московский,Осень,POSITIVE,Комфорт/шум,2
9 Ночей-Норт,Московский,Осень,POSITIVE,Расположение,7
9 Ночей-Норт,Московский,Осень,POSITIVE,Сервис,3
9 Ночей-Норт,Московский,Осень,POSITIVE,Чистота,5
Attashe,Московский,Весна,NEUTRAL,Чистота,1
Attashe,Московский,Весна,POSITIVE,Комфорт/шум,2
Attashe,Московский,Весна,POSITIVE,Расположение,1
Attashe,Московский,Весна,POSITIVE,Сервис,1
Attashe,Московский,Весна,POSITIVE,Чистота,2
Attashe,Московский,Зима,POSITIVE,Комфорт/шум,1
Attashe,Московский,Зима,POSITIVE,Расположение,1
Attashe,Московский,Зима,POSITIVE,Сервис,1
Attashe,Московский,Лето,NEUTRAL,Комфорт/шум,1
Attashe,Московский,Лето,NEUTRAL,Расположение,1
Attashe,Московский,Лето,NEUTRAL,Чистота,2
Attashe,Московский,Лето,POSITIVE,Еда,1
Attashe,Московский,Лето,POSITIVE,Комфорт/шум,2
Attashe,Московский,Лето,POSITIVE,Расположение,8
