season,sentiment,lemma,count
Весна,negative,завтрак,10
Весна,negative,персонал,8
Весна,negative,чистый,7
Весна,negative,место,7
Весна,negative,бельё,7
Весна,negative,окно,7
Весна,negative,постельный,7
Весна,negative,вода,6
Весна,negative,плюс,6
Весна,negative,ночь,5
Весна,negative,ужасный,5
Весна,negative,час,4
Весна,negative,вопрос,4
Весна,negative,весь,4
Весна,negative,холодно,4
Весна,negative,запах,4
Весна,negative,этаж,4
Весна,negative,душа,4
Весна,negative,расположение,4
Весна,negative,вечером,4
Весна,negative,грязный,4
Весна,negative,кондиционер,4
Весна,negative,хостел,4
Весна,negative,дорога,4
Весна,negative,бассейн,3
Весна,negative,кровать,3
Весна,negative,город,3
Весна,negative,цена,3
Весна,negative,сутки,3
Весна,negative,стол,3
Весна,negative,целое,3
Весна,negative,чисто,3
Весна,negative,желание,3
Весна,negative,шумоизоляция,3
Весна,negative,туалет,3
Весна,negative,первый,3
Весна,negative,заведение,3
Весна,negative,грязно,3
Весна,negative,вежливый,3
Весна,negative,уровень,3
Весна,negative,звезда,3
Весна,negative,сырость,3
Весна,negative,горячий,3
Весна,negative,рядом,3
Весна,negative,полотенце,3
Весна,negative,здание,3
Весна,negative,стена,3
Весна,negative,впечатление,3
Весна,negative,итог,3
Весна,negative,самый,3
Весна,negative,данный,3
Весна,negative,сервис,3
Весна,negative,улица,3
Весна,negative,администратор,3
Весна,negative,новый,3
Весна,negative,ремонт,3
Весна,negative,комната,3
Весна,negative,сауна,2
Весна,negative,стабильно,2
Весна,negative,прозрачный,2
Весна,negative,машина,2
Весна,negative,ребята,2
Весна,negative,выезд,2
Весна,negative,оценка,2
Весна,negative,телефон,2
Весна,negative,плесень,2
Весна,negative,пеший,2
Весна,negative,тело,2
Весна,negative,холодильник,2
Весна,negative,крайне,2
Весна,negative,ужас,2
Весна,negative,чайник,2
Весна,negative,свой,2
Весна,negative,единственный,2
Весна,negative,больший,2
Весна,negative,деньга,2
Весна,negative,санузел,2
Весна,negative,канализация,2
Весна,negative,парковка,2
Весна,negative,фото,2
Весна,negative,состояние,2
Весна,negative,слово,2
Весна,negative,какой-то,2
Весна,negative,замечание,2
Весна,negative,старый,2
Весна,negative,кафе,2
Весна,negative,музыка,2
Весна,negative,высокий,2
Весна,negative,стоимость,2
Весна,negative,большой,2
Весна,negative,дверь,2
Весна,negative,сектор,2
Весна,negative,неприятный,2
Весна,negative,ресепшен,2
Весна,negative,отвратительный,2
Весна,negative,утро,2
Весна,negative,телевизор,2
Весна,negative,прохладно,2
Весна,negative,плохой,2
Весна,negative,кухня,2
Весна,negative,обычный,2
Весна,negative,отсутствие,2
Весна,negative,посетитель,2
Весна,negative,долго,2
Весна,negative,работа,2
Весна,negative,прямо,2
Весна,negative,видимо,2
Весна,negative,обои,2
Весна,negative,хороший,2
Весна,negative,таракан,2
Весна,negative,человек,2
Весна,negative,тонкий,2
Весна,negative,мебель,2
